nodes,buildkb-task,sparql-task,shacl-task
500,174.40125198364257,202.55689163208007,202.23126678466798
1500,233.44806137084962,240.07379989624025,238.19425201416016
2500,253.6986282348633,259.38307876586913,266.0471504211426
3500,287.9987258911133,294.0187538146973,308.9422431945801
4500,345.595499420166,351.7952262878418,366.3547668457031
5500,414.73182067871096,420.78648376464844,427.6570541381836
6500,485.1356803894043,491.20364532470705,511.88134841918946
7500,549.3729812622071,555.5195838928223,553.9567413330078
8500,775.0835693359375,792.149382019043,821.8215873718261
9500,886.8976287841797,926.6643836975097,956.1552696228027
