,buildkb,sparql,infer
100,0 days 00:00:00.661178,0 days 00:00:00.003699,0 days 00:00:00.381165
200,0 days 00:00:00.687121,0 days 00:00:00.003532,0 days 00:00:00.373685
300,0 days 00:00:00.726502,0 days 00:00:00.004124,0 days 00:00:00.427512
400,0 days 00:00:00.735905,0 days 00:00:00.004460,0 days 00:00:00.426775
500,0 days 00:00:00.753174,0 days 00:00:00.005684,0 days 00:00:00.490221
600,0 days 00:00:00.784750,0 days 00:00:00.005148,0 days 00:00:00.524738
700,0 days 00:00:00.790265,0 days 00:00:00.005437,0 days 00:00:00.565709
800,0 days 00:00:00.807126,0 days 00:00:00.006173,0 days 00:00:00.606706
900,0 days 00:00:00.847856,0 days 00:00:00.007434,0 days 00:00:00.642589
1000,0 days 00:00:00.815419,0 days 00:00:00.007661,0 days 00:00:00.678756
