C₀ instances,buildkb,sparql,infer
100,158.73079681396484,165.63690948486328,253.5153579711914
200,156.29249572753906,163.90611267089844,253.7133331298828
300,159.3194580078125,168.3201446533203,254.82452392578125
400,157.0140380859375,170.06035614013672,255.5992202758789
500,159.74667358398438,172.09323120117188,255.85537719726562
600,158.5144271850586,173.53902435302734,256.64632415771484
700,160.09458923339844,174.39419555664062,256.9825744628906
800,160.42930603027344,177.60931396484375,257.64466857910156
900,160.33406829833984,176.85982513427734,258.06702423095703
1000,160.7991180419922,178.4574203491211,258.77054595947266
