Cᵢ classes,buildkb-task,sparql-task,infer-task
100,194.70856552124025,208.21786880493164,272.4350135803223
200,241.04482498168946,245.3814613342285,304.76837158203125
300,243.40862503051758,255.82009582519532,333.112557220459
400,253.32779769897462,257.88671798706054,345.8865936279297
500,257.8609336853027,262.3665435791016,366.02057495117185
600,270.3898750305176,274.77445526123046,401.4019744873047
700,271.3469467163086,276.04299011230466,405.53106384277345
800,280.8239128112793,285.2581840515137,420.9869918823242
900,283.4404006958008,288.01108322143557,472.1783088684082
1000,289.19262237548827,293.69738311767577,476.1770446777344
